code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
12626271000006110,QOF (Quality and Outcomes Framework) atrial fibrillation quality indicator-related care invitation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""1110851000000100.0"", ""Snomed CT Description ID"": ""2779681000000120.0""}]"
12734281000006112,QOF (Quality and Outcomes Framework) atrial fibrillation quality indicator-related care invitation using preferred method of communication,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""133111000000106"", ""Snomed CT Description ID"": ""1628151000000120.0""}]"
12734511000006116,Evaluation of AF (atrial fibrillation) burden,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""143601000000104"", ""Snomed CT Description ID"": ""1628691000000120.0""}]"
12736851000006112,Evaluation of atrial fibrillation rate control,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""1127481000000100.0"", ""Snomed CT Description ID"": ""1855311000000120.0""}]"
1823951000006111,Atrial fibrillation confirmed,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""1823951000006110.0"", ""Snomed CT Description ID"": ""1823951000006110.0""}]"
256478018,ECG: atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""164889003"", ""Snomed CT Description ID"": ""256478018""}]"
2675253013,Chronic atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""426749004"", ""Snomed CT Description ID"": ""2675253013""}]"
294601000000110,Atrial fibrillation resolved,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""196371000000102"", ""Snomed CT Description ID"": ""294601000000110""}]"
300130013,Atrial fibrillation and flutter,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""195080001"", ""Snomed CT Description ID"": ""300130013""}]"
300132017,Atrial fibrillation and flutter NOS,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""195080001"", ""Snomed CT Description ID"": ""300130013""}]"
3299911000006116,AF - Atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""49436004"", ""Snomed CT Description ID"": ""1230726010""}]"
350465014,Non-rheumatic atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""233911009"", ""Snomed CT Description ID"": ""350465014""}]"
406861000000119,Atrial fibrillation annual review,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""248411000000105"", ""Snomed CT Description ID"": ""406861000000119""}]"
408081000000116,Atrial fibrillation monitoring first letter,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""717221000000101"", ""Snomed CT Description ID"": ""1569761000000110.0""}]"
408101000000110,Atrial fibrillation monitoring second letter,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""716981000000106"", ""Snomed CT Description ID"": ""1569531000000110.0""}]"
408121000000118,Atrial fibrillation monitoring third letter,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""716181000000109"", ""Snomed CT Description ID"": ""1568741000000120.0""}]"
408141000000113,Atrial fibrillation monitoring verbal invite,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""717011000000100"", ""Snomed CT Description ID"": ""1570401000000120.0""}]"
408241000000115,Atrial fibrillation monitoring telephone invite,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""716721000000107"", ""Snomed CT Description ID"": ""1570381000000120.0""}]"
421235014,Paroxysmal atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""282825002"", ""Snomed CT Description ID"": ""421235014""}]"
456154015,H/O: atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""312442005"", ""Snomed CT Description ID"": ""456154015""}]"
4586611000006112,Electrocardiographic atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""164889003"", ""Snomed CT Description ID"": ""3300048013""}]"
5057261000006110,Lone atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""233910005"", ""Snomed CT Description ID"": ""350464013""}]"
5057281000006117,NRAF - Non-rheumatic atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""233911009"", ""Snomed CT Description ID"": ""350466010""}]"
5669591000006113,AF - Paroxysmal atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""282825002"", ""Snomed CT Description ID"": ""421232012""}]"
5669601000006117,PAF - Paroxysmal atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""282825002"", ""Snomed CT Description ID"": ""421233019""}]"
5669611000006119,Intermittent atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""282825002"", ""Snomed CT Description ID"": ""421234013""}]"
5887651000006116,Controlled atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""300996004"", ""Snomed CT Description ID"": ""442207015""}]"
6016401000006115,History of atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""312442005"", ""Snomed CT Description ID"": ""2986292016""}]"
