medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	SnomedCTDescriptionId	release	emiscodecategoryid
2608251000000116	atypical atrial flutter	G5739		15964901000119107	3322864015		32
9868941000006116	atrial flutter type 2	^ESCTAT986894		15964901000119107	3323015018		32
9868951000006119	atrial flutter type ii	^ESCTAT986895		15964901000119107	3323016017		32
256478018	ecg: atrial fibrillation	3272	3272.00	164889003	256478018		3
4586611000006112	electrocardiographic atrial fibrillation	^ESCTEL458661		164889003	3300048013		3
4586631000006118	electrocardiographic atrial flutter	^ESCTEL458663		164890007	3300081014		3
4586641000006111	ekg: atrial flutter	^ESCTEK458664		164890007	3300082019		3
256479014	ecg: atrial flutter	3273	3273.00	164890007	256479014		3
783761000006118	implant intravenous pacemaker for atrial fibrillation	7936A	7936A00	175146007	271235013		32
865521000006116	pacer controlled atrial fibril	7936A-99	7936A99	175146007	865521000006116		32
1823951000006111	atrial fibrillation confirmed	EMISNQAT22		1823951000006107	1823951000006111		27
1824051000006113	atrial fibrillation clinical pathway protocol followed	EMISNQAT23		1824051000006109	1824051000006113		32
1856431000006118	atrial fibrillation follow-up	EMISNQAT30		1856431000006102	1856431000006118		40
1932021000006117	3d study - problems with atrial fibrillation management	EMISNQ3D6		1932021000006101	1932021000006117		37
300130013	atrial fibrillation and flutter	G573	G573.00	195080001	300130013		32
300132017	atrial fibrillation and flutter nos	G573z	G573z00	195080001	300130013		32
350465014	non-rheumatic atrial fibrillation	G5733	G573300	233911009	350465014		32
5057281000006117	nraf - non-rheumatic atrial fibrillation	^ESCTNR505728		233911009	350466010		32
406861000000119	atrial fibrillation annual review	6A9	6A9..00	248411000000105	406861000000119		1
5669611000006119	intermittent atrial fibrillation	^ESCTIN566961		282825002	421234013		32
5669591000006113	af - paroxysmal atrial fibrillation	^ESCTAF566959		282825002	421232012		32
5669601000006117	paf - paroxysmal atrial fibrillation	^ESCTPA566960		282825002	421233019		32
421235014	paroxysmal atrial fibrillation	G5732	G573200	282825002	421235014		32
6016401000006115	history of atrial fibrillation	^ESCTHI601640		312442005	2986292016		32
456154015	h/o: atrial fibrillation	14AN	14AN.00	312442005	456154015		32
2675253013	chronic atrial fibrillation	G5737		426749004	2675253013		32
2675306013	paroxysmal atrial flutter	G5736	G573600	427665004	2675306013		32
2692063011	history of atrial flutter	14AR	14AR.00	428076002	2692063011		32
636721000000112	permanent atrial fibrillation	G5734	G573400	440028005	2793259018		32
636701000000115	persistent atrial fibrillation	G5735	G573500	440059007	2793372019		32
3299911000006116	af - atrial fibrillation	^ESCTAF329991		49436004	1230726010		32
82343012	atrial fibrillation	G5730	G573000	49436004	82343012		32
9988012	atrial flutter	G5731	G573100	5370000	9988012		32
2608211000000115	typical atrial flutter	G5738		720448006	3320796013		32
7803631000006115	atrial flutter type i	^ESCTAT780363		720448006	3320801015		32
7803641000006113	atrial flutter type 1	^ESCTAT780364		720448006	3320802010		32
1755871000000117	referral to atrial fibrillation clinic	8HTy	8HTy.00	758600000	3620630016		40
