medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	SnomedCTDescriptionId	release	emiscodecategoryid
931451000006113	dna - did not attend copd clinic	9N4W	9N4W.00	110011000000107	166021000000116		37
8034781000006113	did not attend chronic obstructive pulmonary disease clinic	^ESCTDI803478		110011000000107	156561000000110		37
12623621000006118	excepted from copd (chronic obstructive pulmonary disease) quality indicators - service unavailable	^ESCT1262362		1108721000000102	2774581000000119		37
12626281000006113	qof (quality and outcomes framework) chronic obstructive pulmonary disease quality indicator-related care invitation	^ESCT1262628		1110861000000102	2779701000000115		37
11932331000006115	copd gold group a	EMISNQCO295		11932331000006104	11932331000006115		1
11932341000006113	copd gold group b	EMISNQCO296		11932341000006109	11932341000006113		1
11932351000006110	copd gold group c	EMISNQCO297		11932351000006106	11932351000006110		1
11932361000006112	copd gold group d	EMISNQCO298		11932361000006108	11932361000006112		1
4510801000006114	end stage chronic obstructive pulmonary disease	^ESCTEN451080		135836000	3034045017		32
216596014	end stage chronic obstructive airways disease	H3A	H3A..00	135836000	216596014		32
475431013	chronic obstructive pulmonary disease	H3	H3...00	13645005	475431013		32
990651000006112	chr. airway obstruction nos	H3-98	H3...98	13645005	990651000006112		32
301836011	[x]other specified chronic obstructive pulmonary disease	Hyu31	Hyu3100	13645005	475431013		32
301545019	chronic obstructive airways disease nos	H3z	H3z..00	13645005	475428012		32
1222334016	other specified chronic obstructive pulmonary disease	H3y-1	H3y..11	13645005	475431013		32
555471000006114	chronic obstructive airways disease	H3-1	H3...11	13645005	475423015		32
2716351000006113	cold - chronic obstructive lung disease	^ESCTCO271635		13645005	475430014		32
2716271000006112	cafl - chronic airflow limitation	^ESCTCA271627		13645005	475422013		32
2716311000006112	cal - chronic airflow limitation	^ESCTCA271631		13645005	475426011		32
2716301000006114	chronic airflow limitation	^ESCTCH271630		13645005	475425010		32
2716251000006119	chronic irreversible airway obstruction	^ESCTCH271625		13645005	475420017		32
2716321000006116	copd - chronic obstructive pulmonary disease	^ESCTCO271632		13645005	475427019		32
2716341000006111	chronic airway disease	^ESCTCH271634		13645005	475429016		32
2716231000006114	chronic obstructive lung disease	^ESCTCH271623		13645005	23287019		32
301539010	other specified chronic obstructive airways disease	H3y	H3y..00	13645005	475428012		32
2716261000006117	chronic airflow obstruction	^ESCTCH271626		13645005	475421018		32
2716241000006116	chronic airway obstruction	^ESCTCH271624		13645005	475419011		32
990641000006110	chronic obst. pulm. dis. nos	H3-99	H3...99	13645005	990641000006110		32
1222335015	chronic obstructive pulmonary disease nos	H3z-1	H3z..11	13645005	475431013		32
2716291000006113	cao - chronic airflow obstruction	^ESCTCA271629		13645005	475424014		32
27096010	giant bullous emphysema	H3202	H320200	16003001	27096010		32
1656601000006119	copd patient unsuitable for pulmonary rehabilitation	EMISNQCO39		1656601000006103	1656601000006119		37
28511012	pneumomediastinum	H581-1	H581.11	16838000	28511012		32
2767261000006118	mediastinal emphysema	^ESCTME276726		16838000	28510013		32
1724351000006112	clinical copd questionnaire	EMISNQCL15		1724351000006108	1724351000006112		3
1763751000006117	gp out of hours notified of copd care plan	EMISNQGP37		1763751000006101	1763751000006117		37
1771201000006116	chronic obstructive pulmonary disease multidisciplinary review	EMISNQCH80		1771201000006100	1771201000006116		1
1771441000006118	copd patient experience discussed	EMISNQCO114		1771441000006102	1771441000006118		32
1788021000006116	chronic obstructive pulmonary disease rescue pack not indicated	EMISNQCH93		1788021000006100	1788021000006116		32
1822171000006111	copd pathway protocol not followed	EMISNQCO145		1822171000006107	1822171000006111		32
1823851000006119	chronic obstructive pulmonary disease confirmed	EMISNQCH102		1823851000006103	1823851000006119		27
1824071000006115	copd clinical pathway protocol followed	EMISNQCO149		1824071000006104	1824071000006115		32
1839331000006117	seen in chronic obstructive pulmonary disease clinic	EMISNQSE79		1839331000006101	1839331000006117		37
285100019	emphysematous bronchitis	H3121	H312100	185086009	285100019		32
4733031000006114	chronic obstructive bronchitis	^ESCTCH473303		185086009	2668815014		32
4733001000006118	bronchitis with airway obstruction	^ESCTBR473300		185086009	285102010		32
4733021000006111	obstructive chronic bronchitis	^ESCTOB473302		185086009	285104011		32
4733011000006115	cob - chronic obstructive bronchitis	^ESCTCO473301		185086009	285103017		32
4732991000006119	chronic bronchitis with emphysema	^ESCTCH473299		185086009	285101015		32
285104011	obstructive chronic bronchitis	H312	H312.00	185086009	285100019		32
301455018	obstructive chronic bronchitis nos	H312z	H312z00	185086009	285100019		32
1856491000006119	chronic obstructive pulmonary disease monitoring in primary care	EMISNQCH158		1856491000006103	1856491000006119		37
1856501000006110	chronic obstructive pulmonary disease monitoring secondary care	EMISNQCH159		1856501000006106	1856501000006110		37
1856571000006116	chronic obstructive pulmonary disease severity	EMISNQCH160		1856571000006100	1856571000006116		1
1856581000006118	chronic obstructive pulmonary disease monitoring default	EMISNQCH161		1856581000006102	1856581000006118		37
1856591000006115	chronic obstructive pulmonary disease follow-up assessment	EMISNQCH162		1856591000006104	1856591000006115		1
1877361000006116	copd clinical management plan no longer in place	EMISNQCO192		1877361000006100	1877361000006116		32
1880061000006110	copd management plan declined	EMISNQCO196		1880061000006106	1880061000006110		32
1882371000006118	shared care chronic obstructive pulmonary disease monitoring	EMISNQSH45		1882371000006102	1882371000006118		37
1882421000006113	1 copd exacerbation in past year	EMISNQ1C1		1882421000006109	1882421000006113		1
1882431000006111	3+ copd exacerbations in past year	EMISNQ3C1		1882431000006107	1882431000006111		1
1882441000006118	2 copd exacerbations in past year	EMISNQ2C1		1882441000006102	1882441000006118		1
1882451000006116	no copd exacerbations in past year	EMISNQNO109		1882451000006100	1882451000006116		1
1916531000006115	access to online patient copd education given	EMISNQAC842		1916531000006104	1916531000006115		32
1955181000006113	keele enhance trial - copd review	EMISNQKE156		1955181000006109	1955181000006113		37
183191000006115	recurrent wheezy bronchitis	H30-2	H30..12	195949008	301450011		32
301451010	chronic wheezy bronchitis	H3120-1	H312011	195949008	301451010		32
301450011	chronic asthmatic bronchitis	H3120	H312000	195949008	301450011		32
301453013	acute exacerbation of chronic obstructive airways disease	H3122	H312200	195951007	301453013		32
4781421000006111	acute exacerbation of copd	^ESCTAC478142		195951007	3012683010		32
4781431000006114	acute exacerbation of chronic obstructive pulmonary disease	^ESCTAC478143		195951007	3012710012		32
553211000006119	chron obstruct pulmonary dis wth acute exacerbation, unspec	H3y1	H3y1.00	195951007	301453013		32
301456017	mixed simple and mucopurulent chronic bronchitis	H313	H313.00	195953005	301456017		32
301460019	chronic bullous emphysema	H320	H320.00	195957006	301460019		32
4781461000006117	emphysematous bulla	^ESCTEM478146		195957006	301461015		32
301468014	chronic bullous emphysema nos	H320z	H320z00	195957006	301460019		32
4781471000006112	bullous emphysema	^ESCTBU478147		195957006	301462010		32
301463017	segmental bullous emphysema	H3200	H320000	195958001	301463017		32
301464011	zonal bullous emphysema	H3201	H320100	195959009	301464011		32
301470017	acute vesicular emphysema	H32y0	H32y000	195963002	301470017		32
4781821000006113	chronic emphysema caused by chemical fumes	^ESCTCH478182		196026004	3296151011		32
301572010	chronic emphysema due to chemical fumes	H4640	H464000	196026004	301572010		32
1970531000006111	copd assessment test score - cough	EMISNQCO268		1970531000006107	1970531000006111		3
1970541000006118	copd assessment test score - phlegm (mucus)	EMISNQCO269		1970541000006102	1970541000006118		3
1970551000006116	copd assessment test score - chest tightness	EMISNQCO270		1970551000006100	1970551000006116		3
1970561000006119	copd assessment test score - breathless walking up hill/stairs	EMISNQCO271		1970561000006103	1970561000006119		3
1970571000006114	copd assessment test score - activity limitation at home	EMISNQCO272		1970571000006105	1970571000006114		3
1970581000006112	copd assessment test score - confidence leaving home	EMISNQCO273		1970581000006108	1970581000006112		3
1970591000006110	copd assessment test score - sleeping soundly	EMISNQCO274		1970591000006106	1970591000006110		3
1970601000006119	copd assessment test score - energy	EMISNQCO275		1970601000006103	1970601000006119		3
299001000000116	chronic obstructive pulmonary disease disturbs sleep	66Yg	66Yg.00	198401000000104	299001000000116		1
8058301000006110	copd (chronic obstructive pulmonary disease) disturbs sleep	^ESCTCO805830		198401000000104	1677391000000113		1
299031000000110	chronic obstructive pulmonary disease does not disturb sleep	66Yh	66Yh.00	198411000000102	299031000000110		1
8058321000006117	copd (chronic obstructive pulmonary disease) does not disturb sleep	^ESCTCO805832		198411000000102	1677401000000111		1
998281000006115	multiple copd emergency hospital admissions	66Yi	66Yi.00	198901000000105	300201000000114		1
2009451000006113	chronic obstructive pulmonary disease post discharge review	EMISNQCH958		2009451000006109	2009451000006113		1
2009501000006110	suitable for step down change in copd management plan	EMISNQSU104		2009501000006106	2009501000006110		1
2009511000006113	not suitable for step down change in copd management plan	EMISNQNO177		2009511000006109	2009511000006113		1
