code,coding_system,description,entity,list_name,upload_date
1.00445E+16,CPRD_product_code,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.00446E+16,CPRD_product_code,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.02526E+16,CPRD_product_code,Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.02527E+16,CPRD_product_code,Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.04942E+16,CPRD_product_code,Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.04944E+16,CPRD_product_code,Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.05294E+15,CPRD_product_code,Human Mixtard 10 Injection,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.05304E+15,CPRD_product_code,Human Mixtard 20 Injection,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.05314E+15,CPRD_product_code,Human Mixtard 40 Injection,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.05324E+15,CPRD_product_code,Human Mixtard 50 Injection,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.05354E+15,CPRD_product_code,Human Mixtard 30 Injection (cartridges) 100 u/ml,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06006E+16,CPRD_product_code,Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06007E+16,CPRD_product_code,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06164E+15,CPRD_product_code,Human Mixtard 30 Preloaded pen,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06174E+15,CPRD_product_code,Human Mixtard 10 Preloaded pen,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06184E+15,CPRD_product_code,Human Mixtard 20 Preloaded pen,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06194E+15,CPRD_product_code,Human Mixtard 40 Preloaded pen,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06204E+15,CPRD_product_code,Human Mixtard 50 Preloaded pen,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.06739E+16,CPRD_product_code,Insulin human 100units/ml solution for injection 10ml vials,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
