code,coding_system,description,entity,list_name,upload_date
1.01714E+15,CPRD_product_code,Orabet Tablets 500 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.01724E+15,CPRD_product_code,Orabet Tablets 850 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.05988E+16,CPRD_product_code,Glucient SR 750mg tablets (Consilient Health Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.05989E+16,CPRD_product_code,Glucient SR 1000mg tablets (Consilient Health Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06141E+16,CPRD_product_code,Empagliflozin 5mg / Metformin 850mg tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06142E+16,CPRD_product_code,Empagliflozin 5mg / Metformin 1g tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06143E+16,CPRD_product_code,Empagliflozin 12.5mg / Metformin 850mg tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06144E+16,CPRD_product_code,Empagliflozin 12.5mg / Metformin 1g tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06145E+16,CPRD_product_code,Synjardy 5mg/850mg tablets (Boehringer Ingelheim Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06146E+16,CPRD_product_code,Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06147E+16,CPRD_product_code,Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.06148E+16,CPRD_product_code,Synjardy 12.5mg/1000mg tablets (Boehringer Ingelheim Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.17813E+16,CPRD_product_code,Metformin 1g/5ml oral solution sugar free,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.17814E+16,CPRD_product_code,Metformin 850mg/5ml oral solution sugar free,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.23265E+16,CPRD_product_code,Meijumet 500mg modified-release tablets (Medreich Plc),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.23266E+16,CPRD_product_code,Meijumet 750mg modified-release tablets (Medreich Plc),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.23267E+16,CPRD_product_code,Meijumet 1000mg modified-release tablets (Medreich Plc),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
1.25931E+16,CPRD_product_code,Yaltormin SR 500mg tablets (Wockhardt UK Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
