medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	SnomedCTDescriptionId	release	emiscodecategoryid
2663441000006117	acute infarction of papillary muscle	^ESCTAC266344		10273003	17900011		32
1218860015	acute papillary muscle infarction	G30y1	G30y100	10273003	1218860015		32
212091000006110	postoperative transmural myocardial infarction unspec site	G383	G383.00	129574000	208365015		32
455423016	postoperative myocardial infarction, unspecified	G38z	G38z.00	129574000	208365015		32
212081000006112	postoperative transmural myocardial infarction other sites	G382	G382.00	129574000	208365015		32
208365015	postoperative myocardial infarction	G38	G38..00	129574000	208365015		32
1576271000006117	cause of death- myocardial infarction	EGTON2EGTON433		1576271000006101	1576271000006117		37
1576301000006115	cause of death- acute myocardial infarction	EGTON2G41		1576301000006104	1576301000006115		37
967931000006114	acute posterolateral myocardial infarction	G30B	G30B.00	15990001	27071012		32
810811000006116	h/o: myocardial infarct <60	14A3	14A3.00	161502000	251675010		32
4540461000006118	history of myocardial infarct at age less than sixty	^ESCTHI454046		161502000	2986996013		32
4540481000006111	history of myocardial infarct at age greater than sixty	^ESCTHI454048		161503005	2986493011		32
810821000006112	h/o: myocardial infarct >60	14A4	14A4.00	161503005	251678012		32
256452010	ecg: myocardial infarction	323	323..00	164865005	256452010		3
256460011	ecg: myocardial infarct nos	323Z	323Z.00	164865005	256452010		3
4586031000006113	electrocardiogram finding of infarction	^ESCTEL458603		164865005	2693159014		3
4586041000006115	electrocardiographic myocardial infarction	^ESCTEL458604		164865005	3300376010		3
4586051000006118	ekg: myocardial infarction	^ESCTEK458605		164865005	3300377018		3
256454011	ecg: old myocardial infarction	3232	3232.00	164867002	256454011		3
4586101000006118	electrocardiographic old myocardial infarction	^ESCTEL458610		164867002	3300312016		3
4586091000006112	ekg: old myocardial infarction	^ESCTEK458609		164867002	3300311011		3
4586111000006115	anteroseptal infarction on electrocardiogram	^ESCTAN458611		164868007	2695135018		3
4586151000006119	ecg: antero-septal infarct	^ESCTEC458615		164868007	2820892012		3
4586131000006114	ecg: anteroseptal infarction	^ESCTEC458613		164868007	256456013		3
4586141000006116	electrocardiogram: anteroseptal infarction	^ESCTEL458614		164868007	2619217019		3
256455012	ecg: antero-septal infarct.	3233	3233.00	164868007	256455012		3
256457016	ecg:posterior/inferior infarct	3234	3234.00	164869004	256457016		3
4586181000006110	electrocardiographic posterior/inferior infarct	^ESCTEL458618		164869004	3300252016		3
4586171000006112	ekg:posterior/inferior infarct	^ESCTEK458617		164869004	3300251011		3
256458014	ecg: subendocardial infarct	3235	3235.00	164870003	256458014		3
4586201000006111	ekg: subendocardial infarct	^ESCTEK458620		164870003	3300441012		3
4586211000006114	electrocardiographic subendocardial infarct	^ESCTEL458621		164870003	3300442017		3
256459018	ecg: lateral infarction	3236	3236.00	164871004	256459018		3
4586241000006113	electrocardiogram: lateral infarction	^ESCTEL458624		164871004	2619220010		3
4586221000006118	lateral infarction on electrocardiogram	^ESCTLA458622		164871004	2692104017		3
256508017	ecg: q wave abnormal	32B2	32B2.00	164917005	256508017		3
4587271000006115	ekg: q wave abnormal	^ESCTEK458727		164917005	3300307017		3
4587281000006117	electrocardiographic q wave abnormal	^ESCTEL458728		164917005	3300308010		3
4587291000006119	pathological q wave	^ESCTPA458729		164918000	256509013		3
635061000006116	ecg: q wave pathological	32B3	32B3.00	164918000	256509013		3
635321000006113	ecg: s-t elevation	32E3	32E3.00	164931005	256523010		3
258968018	cardiac enzymes abnormal	44H3	44H3.00	166663004	258968018		34
258969014	cardiac enzymes abnormal - first set	44H30	44H3000	166664005	258969014		34
238581000006112	percut translum coronary thrombolytic therapy- streptokinase	79291-1	7929111	175071008	271151013		32
238651000006115	percut transluminal coronary thrombolysis with streptokinase	79291	7929100	175071008	271150014		32
4031011	old myocardial infarction	G32	G32..00	1755008	4031011		32
2526351000006116	healed coronary	^ESCTHE252635		1755008	1221564010		32
4032016	healed myocardial infarction	G32-1	G32..11	1755008	4032016		32
299712015	true posterior myocardial infarction	G306	G306.00	194802003	299712015		32
4775881000006117	true posterior wall infarction	^ESCTTR477588		194802003	2535851011		32
299719012	acute atrial infarction	G30y0	G30y000	194809007	299719012		32
4775891000006119	acute myocardial infarction of atrium	^ESCTAC477589		194809007	2470032018		32
299808017	subsequent myocardial infarction	G35	G35..00	194856005	299808017		32
300882013	[x]subsequent myocardial infarction of unspecified site	Gyu36	Gyu3600	194856005	299808017		32
118831000006118	subsequent myocardial infarction of unspecified site	G35X	G35X.00	194856005	299808017		32
4776171000006116	reinfarction of myocardium	^ESCTRE477617		194856005	299809013		32
300881018	[x]subsequent myocardial infarction of other sites	Gyu35	Gyu3500	194856005	299808017		32
299813018	subsequent myocardial infarction of other sites	G353	G353.00	194856005	299808017		32
299811016	subsequent myocardial infarction of anterior wall	G350	G350.00	194857001	299811016		32
299812011	subsequent myocardial infarction of inferior wall	G351	G351.00	194858006	299812011		32
813961000006116	haemopericardium/current comp folow acut myocard infarct	G360	G360.00	194862000	299816014		32
12220751000006113	hemopericardium due to and following acute myocardial infarction	^ESCT1222075		194862000	3673281015		32
12220761000006110	haemopericardium due to and following acute myocardial infarction	^ESCT1222076		194862000	3673282010		32
4776221000006110	hemopericardium as current complication following acute myocardial infarction	^ESCTHE477622		194862000	299817017		32
12220771000006115	atrial septal defect due to and following acute myocardial infarction	^ESCT1222077		194863005	3673273016		32
498031000006112	atrial septal defect/curr comp folow acut myocardal infarct	G361	G361.00	194863005	299818010		32
158601000006116	ruptur cardiac wall w'out haemopericard/cur comp fol ac mi	G363	G363.00	194865003	299821012		32
4776251000006118	rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction	^ESCTRU477625		194865003	299820013		32
158611000006118	ruptur chordae tendinae/curr comp fol acute myocard infarct	G364	G364.00	194866002	299822017		32
12220781000006117	rupture of chordae tendinae due to and following acute myocardial infarction	^ESCT1222078		194866002	3673278013		32
159001000006119	rupture papillary muscle/curr comp fol acute myocard infarct	G365	G365.00	194867006	299823010		32
12220791000006119	thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction	^ESCT1222079		194868001	3673277015		32
100681000006116	thrombosis atrium,auric append&vent/curr comp foll acute mi	G366	G366.00	194868001	299824016		32
2855351000006111	myocardial infarct	^ESCTMY285535		22298006	1784873012		32
