medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	SnomedCTDescriptionId	release	emiscodecategoryid
4214801000006114	femoral-popliteal artery vascular bypass	^ESCTFE421480		112828007	188669019		32
4214791000006113	femoral-popliteal artery bypass graft	^ESCTFE421479		112828007	184069011		32
4214821000006116	fpb - femoropopliteal bypass	^ESCTFP421482		112828007	1219796019		32
4214841000006111	ak - above knee femoral popliteal bypass graft	^ESCTAK421484		112828007	1219798018		32
4214861000006110	bypass of popliteal artery by anastomosis of popliteal artery to femoral artery	^ESCTBY421486		112828007	1780421000000119		32
4214811000006112	creation of femoropopliteal shunt	^ESCTCR421481		112828007	188670018		32
4214851000006113	femoropopliteal bypass graft	^ESCTFE421485		112828007	1219799014		32
4214831000006118	femoropopliteal bypass	^ESCTFE421483		112828007	1219797011		32
173511000006113	replace aneurysm fem art by fem/pop art anastom c prosth nec	7A460	7A46000	112828007	184069011		32
173501000006110	replace aneurysm fem art by fem/pop a anast c vein graft nec	7A462	7A46200	112828007	184069011		32
173641000006113	replace aneurysm popliteal artery by pop/fem anastomosis nec	7A46D	7A46D00	112828007	184069011		32
639431000006118	emerg bypass femoral art by fem/pop art anast c prosth nec	7A470	7A47000	112828007	184069011		32
639421000006116	emerg bypass femoral art by fem/pop a anast c vein graft nec	7A472	7A47200	112828007	184069011		32
530791000006113	bypass popliteal artery by pop/fem artery anastomosis nec	7A48D	7A48D00	112828007	184069011		32
4271491000006114	creation of arterial vascular bypass	^ESCTCR427149		116360008	422451018		32
4271501000006118	bypass/graft of artery	^ESCTBY427150		116360008	422452013		32
4271511000006115	creation of arterial bypass	^ESCTCR427151		116360008	422453015		32
4271471000006113	arterial bypass graft	^ESCTAR427147		116360008	183983017		32
4271521000006111	creation of arterioarterial shunt	^ESCTCR427152		116360008	422454014		32
4271481000006111	creation of arterioarterial bypass	^ESCTCR427148		116360008	422450017		32
173451000006113	replace aneurysm ascend aorta by anast of aorta/aorta nec	7A140	7A14000	116360008	183983017		32
173651000006110	replace aneurysm thoracic aorta by anast of aorta/aorta nec	7A141	7A14100	116360008	183983017		32
173431000006118	replace aneurys suprarenal aorta by anast aorta to aorta nec	7A142	7A14200	116360008	183983017		32
173411000006112	replace aneurys infrarenal aorta by anast aorta to aorta nec	7A143	7A14300	116360008	183983017		32
639361000006116	emerg bypass ascending aorta by anastom aorta to aorta nec	7A150	7A15000	116360008	183983017		32
639621000006118	emerg bypass thoracic aorta by anatomosis aorta to aorta nec	7A151	7A15100	116360008	183983017		32
271479014	other bypass of segment of aorta	7A16	7A16.00	116360008	183983017		32
530271000006116	bypass of ascending aorta by anastomosis aorta to aorta nec	7A160	7A16000	116360008	183983017		32
530731000006114	bypass of thoracic aorta by anastomosis aorta to aorta nec	7A161	7A16100	116360008	183983017		32
530711000006115	bypass of suprarenal aorta by anastomosis aorta to aorta nec	7A162	7A16200	116360008	183983017		32
530511000006110	bypass of infrarenal aorta by anastomosis aorta to aorta nec	7A163	7A16300	116360008	183983017		32
530261000006111	bypass of abdominal aorta by anastomosis aorta to aorta nec	7A164	7A16400	116360008	183983017		32
271485019	other specified other bypass of segment of aorta	7A16y	7A16y00	116360008	183983017		32
271486018	other bypass of segment of aorta nos	7A16z	7A16z00	116360008	183983017		32
271720011	bypass of coeliac artery nec	7A330	7A33000	116360008	183983017		32
271722015	bypass of superior mesenteric artery nec	7A331	7A33100	116360008	183983017		32
271723013	bypass of inferior mesenteric artery nec	7A332	7A33200	116360008	183983017		32
271725018	bypass of suprarenal artery nec	7A333	7A33300	116360008	183983017		32
173481000006117	replace aneurysm com iliac a by aorta/com iliac a anast nec	7A409	7A40900	116360008	183983017		32
173551000006114	replace aneurysm iliac art by aorta/ext iliac art anast nec	7A40A	7A40A00	116360008	183983017		32
173571000006116	replace aneurysm leg artery by aorta/com fem art anast nec	7A40B	7A40B00	116360008	183983017		32
