Condition,Model,N_searches,N_iterations,Input_tokens,Output_tokens,TP,FP,FN,Precision,Recall,F1,Jaccard,AI_size,Ref_size,Error
Atrial Fibrillation,GPT-5.4_Mini,6,2,10569,462,16,30,2,0.3478,0.8889,0.5,0.3333,46,18,
Atrial Fibrillation,Claude_Sonnet_5,9,4,37134,3725,16,17,2,0.4848,0.8889,0.6275,0.4571,33,18,
Heart Failure,GPT-5.4_Mini,8,2,13507,628,21,42,63,0.3333,0.25,0.2857,0.1667,63,84,
Heart Failure,Claude_Sonnet_5,10,4,99299,19842,29,95,55,0.2339,0.3452,0.2788,0.162,124,84,
Cerebrovascular Disease,GPT-5.4_Mini,12,3,31437,828,28,56,102,0.3333,0.2154,0.2617,0.1505,84,130,
Cerebrovascular Disease,Claude_Sonnet_5,16,4,111773,30906,72,354,58,0.169,0.5538,0.259,0.1488,426,130,
Hypertension,GPT-5.4_Mini,10,3,19463,934,61,49,153,0.5545,0.285,0.3765,0.2319,110,214,
Hypertension,Claude_Sonnet_5,14,5,109067,19228,89,64,125,0.5817,0.4159,0.485,0.3201,153,214,
Myocardial Infarction,GPT-5.4_Mini,6,2,10459,657,45,34,82,0.5696,0.3543,0.4369,0.2795,79,127,
Myocardial Infarction,Claude_Sonnet_5,6,4,104362,18706,62,107,65,0.3669,0.4882,0.4189,0.265,169,127,
Peripheral Arterial Disease,GPT-5.4_Mini,10,3,16174,522,17,19,369,0.4722,0.044,0.0806,0.042,36,386,
Peripheral Arterial Disease,Claude_Sonnet_5,17,6,149526,19999,53,151,333,0.2598,0.1373,0.1797,0.0987,204,386,
COPD,GPT-5.4_Mini,5,2,8860,525,49,13,163,0.7903,0.2311,0.3577,0.2178,62,212,
COPD,Claude_Sonnet_5,12,6,127375,13409,75,36,137,0.6757,0.3538,0.4644,0.3024,111,212,
Asthma,GPT-5.4_Mini,5,2,8090,643,46,39,123,0.5412,0.2722,0.3622,0.2212,85,169,
Asthma,Claude_Sonnet_5,3,3,28493,9267,52,45,117,0.5361,0.3077,0.391,0.243,97,169,
Insulin,GPT-5.4_Mini,8,2,25564,1380,113,56,111,0.6686,0.5045,0.5751,0.4036,169,224,
Insulin,Claude_Sonnet_5,26,4,170389,15335,145,38,79,0.7923,0.6473,0.7125,0.5534,183,224,
Metformin,GPT-5.4_Mini,4,2,30045,544,52,8,27,0.8667,0.6582,0.7482,0.5977,60,79,
Metformin,Claude_Sonnet_5,25,4,80324,5976,73,18,6,0.8022,0.9241,0.8588,0.7526,91,79,
Atrial Fibrillation,Gemini_3.6_Flash,7,8,116240,692,16,15,2,0.5161,0.8889,0.6531,0.4848,31,18,
Heart Failure,Gemini_3.6_Flash,10,11,206473,1940,29,70,55,0.2929,0.3452,0.3169,0.1883,99,84,
Hypertension,Gemini_3.6_Flash,9,10,226722,3180,98,74,116,0.5698,0.4579,0.5078,0.3403,172,214,
Myocardial Infarction,Gemini_3.6_Flash,16,17,814490,3771,82,109,45,0.4293,0.6457,0.5157,0.3475,191,127,
Peripheral Arterial Disease,Gemini_3.6_Flash,22,7,217003,4176,50,156,336,0.2427,0.1295,0.1689,0.0923,206,386,
COPD,Gemini_3.6_Flash,8,9,174889,2092,80,36,132,0.6897,0.3774,0.4878,0.3226,116,212,
Asthma,Gemini_3.6_Flash,9,10,284970,3055,60,104,109,0.3659,0.355,0.3604,0.2198,164,169,
Insulin,Gemini_3.6_Flash,8,9,341885,3690,144,38,80,0.7912,0.6429,0.7094,0.5496,182,224,
Metformin,Gemini_3.6_Flash,8,9,225175,1956,73,18,6,0.8022,0.9241,0.8588,0.7526,91,79,
Cerebrovascular Disease,Gemini_3.6_Flash,17,0,1347397,7210,51,253,79,0.1678,0.3923,0.235,0.1332,304,130,
